School Name,Location,Sector,Address,Postal Code,Latitude,Longitude,Scores of 40+,Median Score,Satisfactory completions of VCE,Satisfactory completions of VET
Blackburn High School,"Blackburn VIC, Melbourne Eastern Suburbs",Government,60 Springfield Rd Blackburn Victoria 3130,3130,-37.811519399999995,145.15058227112502,7%,30,99%,68%
Box Hill High School,"Box Hill VIC, Melbourne Eastern Suburbs",Government,1180 Whitehorse Rd Box Hill Victoria 3128,3128,-37.8207411,145.13749787882983,9%,30,94%,91%
Brighton Secondary College,"Brighton East VIC, Melbourne Southern Suburbs & Western Port",Government,120 Marriage Rd Brighton East Victoria 3187,3187,-37.918832,145.0096813,11%,31,97%,87%
Catholic College Sale,"Sale VIC, Gippsland",Catholic,Cnr York St and Raglan St Sale Victoria 3850,3850,,,7%,28,99%,97%
Diamond Valley College,"Diamond Creek VIC, Melbourne Northern Suburbs",Government,165-179 Main Hurstbridge Rd Diamond Creek Victoria 3089,3089,-37.672550599999994,145.1663947524161,2%,26,98%,68%
Dimboola Memorial Secondary College,"Dimboola VIC, Central Highlands-Wimmera",Government,66 Ellerman St Dimboola Victoria 3414,3414,-36.4491659,142.03687176298268,,28,100%,89%
Drouin Secondary College,"Drouin VIC, Gippsland",Government,52 South Rd Drouin Victoria 3818,3818,,,1%,25,97%,98%
East Doncaster Secondary College,"Doncaster East VIC, Melbourne Eastern Suburbs",Government,20 George St Doncaster East Victoria 3109,3109,-37.7790895,145.1363444,16%,33,99%,82%
Edenbrook Secondary College,"Pakenham VIC, Melbourne Southern Suburbs & Western Port",Government,133 Henry Road Pakenham Victoria 3810,3810,-38.0791716,145.4448085737684,,,,
Elevation Secondary College,"Craigburn VIC, Melbourne Northern Suburbs",Government,199 Elevation Boulevard Craigburn Victoria 3064,3064,,,,,,
Emerald Secondary College,"Emerald VIC, Melbourne Eastern Suburbs",Government,425 Belgrave-Gembrook Rd Emerald Victoria 3782,3782,-37.9320816,145.4404539,2%,28,96%,77%
Emmanuel College,"Warrnambool VIC, Barwon-South Western",Catholic,37 Ardlie St Warrnambool Victoria 3280,3280,-38.3690763,142.4783407,5%,29,99%,90%
Emmanuel College,"Altona North VIC, Melbourne Western Suburbs",Catholic,2-40 Foxwood Drv Point Cook Victoria 3030,3030,-37.8843616,144.74526147006384,5%,28,100%,92%
F.C.J College Benalla,"Benalla VIC, Goulburn-North Eastern",Catholic,36 Arundel St Benalla Victoria 3672,3672,-36.5527793,145.97444300378342,4%,29,98%,94%
Footscray High School,"Footscray VIC, Melbourne Western Suburbs",Government,298 Barkly Street Footscray Victoria 3011,3011,-37.7988962,144.8917576,3%,29,100%,69%
Forest Hill College,"Burwood East VIC, Melbourne Eastern Suburbs",Government,178-180 Mahoneys Rd Burwood East Victoria 3151,3151,-37.8469205,145.1643118,4%,27,84%,77%
Fountain Gate Secondary College,"Fountain Gate VIC, Melbourne Southern Suburbs & Western Port",Government,45 Josephine Ave Fountain Gate Victoria 3805,3805,,,2%,27,99%,67%
Gisborne Secondary College,"Gisborne VIC, Loddon-Mallee",Government,Melton Rd Gisborne Victoria 3437,3437,-37.5250807,144.564467,3%,26,97%,52%
Grovedale College,"Grovedale VIC, Barwon-South Western",Government,19 Wingarra Drive Grovedale Victoria 3216,3216,-38.21039495,144.32832508089706,1%,25,98%,91%
Holmes Secondary College,"Melbourne VIC, Melbourne Southern Suburbs & Western Port",Independent,185 Spring Street Melbourne Victoria 3000,3000,-37.8103211,144.9721869,6%,29,100%,
Kew High School,"Kew East VIC, Melbourne Eastern Suburbs",Government,1393 Burke Rd Kew East Victoria 3102,3102,-37.7953511,145.0625438425108,7%,31,99%,96%
Kolbe Catholic College,"Greenvale Lakes VIC, Melbourne Northern Suburbs",Catholic,99 Lysterfield Drive Greenvale Lakes Victoria 3059,3059,-37.6118921,144.9082511,1%,25,92%,79%
Koo Wee Rup Secondary College,"Koo Wee Rup VIC, Melbourne Southern Suburbs & Western Port",Government,Rossiter Rd Koo Wee Rup Victoria 3981,3981,-38.1967817,145.4969993,2%,28,100%,85%
